bin,lower,upper,count,mean_score,fraction_positive
0,0.0,0.1,4837,0.06404101457707222,0.11474054165805252
1,0.1,0.2,9887,0.15329714607599226,0.16607666632952361
2,0.2,0.30000000000000004,13861,0.2512060800396203,0.23006998052088595
3,0.30000000000000004,0.4,13198,0.34804416845189495,0.31201697226852554
4,0.4,0.5,10066,0.4478714039015197,0.3930061593483012
5,0.5,0.6000000000000001,7624,0.5461068884757858,0.49790136411332636
6,0.6000000000000001,0.7000000000000001,6371,0.6509264353174483,0.5886046146601789
7,0.7000000000000001,0.8,8222,0.7532253163526657,0.6673558744830942
8,0.8,0.9,9645,0.8483817161767208,0.7554173146708139
9,0.9,1.0,2813,0.9251692436405063,0.7980803412726626
