bin,lower,upper,count,mean_score,fraction_positive
0,0.0,0.1,0,,
1,0.1,0.2,0,,
2,0.2,0.30000000000000004,0,,
3,0.30000000000000004,0.4,11648,0.3712923828676179,0.24373282967032966
4,0.4,0.5,29220,0.45678113981785634,0.3580082135523614
5,0.5,0.6000000000000001,34762,0.5485451787300388,0.4751165065301191
6,0.6000000000000001,0.7000000000000001,9632,0.6296553535640635,0.5633305647840532
7,0.7000000000000001,0.8,1083,0.7375598047358618,0.6066481994459834
8,0.8,0.9,167,0.8366809837118594,0.6826347305389222
9,0.9,1.0,12,0.9075413892666498,0.9166666666666666
